ProductID,ProductName,Category,UnitPrice,SupplierID
P001,RunFast Elite,Running,5999,S001
P002,StreetStyle Pro,Casual,9999,S002
P003,CourtMaster,Tennis,5999,S003
P004,TrailBlazer X,Hiking,7999,S001
P005,UrbanChic,Fashion,7999,S004
P006,AirFlex Supreme,Running,8999,S002
P007,ComfortWalk Lite,Casual,4999,S003
P008,SportsPro GT,Training,6999,S001
P009,YogaFlex Zen,Fitness,3999,S004
P010,SkateKing Pro,Skateboarding,5499,S002
P011,RunFast Ultra,Running,6199,S001
P012,StreetStyle Max,Casual,10199,S002
P013,CourtMaster Pro,Tennis,6199,S003
P014,TrailBlazer Ultra,Hiking,8199,S001
P015,UrbanChic Plus,Fashion,8199,S004
P016,AirFlex Pro,Running,9299,S002
P017,ComfortWalk Ultra,Casual,5199,S003
P018,SportsPro Max,Training,7199,S001
P019,YogaFlex Pro,Fitness,4199,S004
P020,SkateKing Max,Skateboarding,5699,S002
P021,RunFast Speed,Running,6399,S001
P022,StreetStyle X,Casual,10399,S002
P023,CourtMaster X,Tennis,6399,S003
P024,TrailBlazer Max,Hiking,8399,S001
P025,UrbanChic X,Fashion,8399,S004
P026,AirFlex Max,Running,9599,S002
P027,ComfortWalk Max,Casual,5399,S003
P028,SportsPro Ultra,Training,7399,S001
P029,YogaFlex Ultra,Fitness,4399,S004
P030,SkateKing Ultra,Skateboarding,5899,S002
P031,RunFast Prime,Running,6599,S001
P032,StreetStyle Prime,Casual,10599,S002
P033,CourtMaster Prime,Tennis,6599,S003
P034,TrailBlazer Prime,Hiking,8599,S001
P035,UrbanChic Prime,Fashion,8599,S004
P036,AirFlex Prime,Running,9799,S002
P037,ComfortWalk Prime,Casual,5599,S003
P038,SportsPro Prime,Training,7599,S001
P039,YogaFlex Prime,Fitness,4599,S004
P040,SkateKing Prime,Skateboarding,6099,S002
P041,RunFast Plus,Running,6799,S001
P042,StreetStyle Plus,Casual,10799,S002
P043,CourtMaster Plus,Tennis,6799,S003
P044,TrailBlazer Plus,Hiking,8799,S001
P045,UrbanChic Plus,Fashion,8799,S004
P046,AirFlex Plus,Running,9999,S002
P047,ComfortWalk Plus,Casual,5799,S003
P048,SportsPro Plus,Training,7799,S001
P049,YogaFlex Plus,Fitness,4799,S004
P050,SkateKing Plus,Skateboarding,6299,S002
