SaleID,Date,ProductID,CustomerID,Quantity,TotalAmount,SalesRepID,StoreLocation
1,2023-01-01,P003,C045,2,11998,SR05,"Mumbai, Maharashtra"
2,2023-01-01,P001,C078,1,5999,SR02,"Delhi, Delhi"
3,2023-01-02,P005,C023,3,23997,SR01,"Bangalore, Karnataka"
4,2023-01-02,P002,C056,1,9999,SR03,"CHENNAI, Tamil Nadu"
5,2023-01-03,P004,C089,2,15998,SR04,"Kolkata, west bengal"
6,2023-01-03,P001,C012,1,5999,SR06,"PUNE, maharashtra"
7,2023-01-04,P003,C034,4,23996,SR07,"Hyderabad, Telangana"
8,2023-01-04,P002,C067,2,19998,SR08,"Ahmedabad, Gujarat"
9,2023-01-05,P005,C001,1,7999,SR09,"Jaipur, Rajasthan"
10,2023-01-05,P004,C090,3,23997,SR10,"LUCKNOW, Uttar Pradesh"
11,2023-01-06,P003,C011,2,11998,SR05,"Mumbai, Maharashtra"
12,2023-01-06,P001,C018,1,5999,SR02,"Delhi, Delhi"
13,2023-01-07,P005,C013,3,23997,SR01,"Bangalore, Karnataka"
14,2023-01-07,P002,C026,1,9999,SR03,"CHENNAI, Tamil Nadu"
15,2023-01-08,P004,C019,2,15998,SR04,"Kolkata, west bengal"
16,2023-01-08,P001,C029,1,5999,SR06,"PUNE, maharashtra"
17,2023-01-09,P003,C031,4,23996,SR07,"Hyderabad, Telangana"
18,2023-01-09,P002,C017,2,19998,SR08,"Ahmedabad, Gujarat"
19,2023-01-10,P005,C008,1,7999,SR09,"Jaipur, Rajasthan"
20,2023-01-10,P004,C015,3,23997,SR10,"LUCKNOW, Uttar Pradesh"
21,2023-01-11,P003,C042,2,11998,SR05,"Mumbai, Maharashtra"
22,2023-01-11,P001,C028,1,5999,SR02,"Delhi, Delhi"
23,2023-01-12,P005,C003,3,23997,SR01,"Bangalore, Karnataka"
24,2023-01-12,P002,C022,1,9999,SR03,"CHENNAI, Tamil Nadu"
25,2023-01-13,P004,C023,2,15998,SR04,"Kolkata, west bengal"
26,2023-01-13,P001,C045,1,5999,SR06,"PUNE, maharashtra"
27,2023-01-14,P003,C012,4,23996,SR07,"Hyderabad, Telangana"
28,2023-01-14,P002,C067,2,19998,SR08,"Ahmedabad, Gujarat"
29,2023-01-15,P005,C036,1,7999,SR09,"Jaipur, Rajasthan"
30,2023-01-15,P004,C040,3,23997,SR10,"LUCKNOW, Uttar Pradesh"
31,2023-01-16,P003,C037,2,11998,SR05,"Mumbai, Maharashtra"
32,2023-01-16,P001,C048,1,5999,SR02,"Delhi, Delhi"
33,2023-01-17,P005,C038,3,23997,SR01,"Bangalore, Karnataka"
34,2023-01-17,P002,C053,1,9999,SR03,"CHENNAI, Tamil Nadu"
35,2023-01-18,P004,C056,2,15998,SR04,"Kolkata, west bengal"
36,2023-01-18,P001,C062,1,5999,SR06,"PUNE, maharashtra"
37,2023-01-19,P003,C065,4,23996,SR07,"Hyderabad, Telangana"
38,2023-01-19,P002,C072,2,19998,SR08,"Ahmedabad, Gujarat"
39,2023-01-20,P005,C078,1,7999,SR09,"Jaipur, Rajasthan"
40,2023-01-20,P004,C081,3,23997,SR10,"LUCKNOW, Uttar Pradesh"
41,2023-01-21,P003,C082,2,11998,SR05,"Mumbai, Maharashtra"
42,2023-01-21,P001,C084,1,5999,SR02,"Delhi, Delhi"
43,2023-01-22,P005,C086,3,23997,SR01,"Bangalore, Karnataka"
44,2023-01-22,P002,C088,1,9999,SR03,"CHENNAI, Tamil Nadu"
45,2023-01-23,P004,C091,2,15998,SR04,"Kolkata, west bengal"
46,2023-01-23,P001,C093,1,5999,SR06,"PUNE, maharashtra"
47,2023-01-24,P003,C095,4,23996,SR07,"Hyderabad, Telangana"
48,2023-01-24,P002,C097,2,19998,SR08,"Ahmedabad, Gujarat"
49,2023-01-25,P005,C099,1,7999,SR09,"Jaipur, Rajasthan"
50,2023-01-25,P004,C100,3,23997,SR10,"LUCKNOW, Uttar Pradesh"
